partner,website
National Quality Forum,http://www.qualityforum.org/Home.aspx
"Native American Management Services, Inc.",http://namsinc.info/
NERA,http://www.nera.com/
Northrup Grumman,http://www.northropgrumman.com/
NOVAD,http://www.novadconsulting.com/
On Par Productions,http://www.onparproductions.net
Only Connect Consulting,http://www.myonlyconnect.com
Open Minds,https://www.openminds.com/
"Operational Performance Solutions, Inc.",http://www.opsgroupinc.com
"Optimal Solutions Group, LLC",http://optimalsolutionsgroup.com/
Organizational Wellness and Learning Systems,http://organizationalwellness.com
Pacific Institute for Research and Evaluation,http://www.pire.org
Pathfinder,https://www.pathfinderconsultants.com/
Patient and Family Centered Care Partners,http://www.pfccpartners.com
"Penngood, LLC",http://www.penngood.com/
"Policy Research Associates, Inc.",https://www.prainc.com
Primece,https://primece.com/
PWC,https://www.pwc.com/
PWC - GuideHouse,https://guidehouse.com/
Qualadigm,http://www.qualidigm.org/
RAND Corporation,http://www.rand.org
Regis LT&D,https://www.regiscompany.com/
Regis Consulting,http://www.regis-consulting.com/
Reid Temple,http://www.reidtemple.org/
RELI  Group Inc.,https://www.religroupinc.com/
Results Craft,http://www.resultscraft.com
Richy May,https://www.richeymay.com/
"Ripple Effect Communications, Inc.",http://rippleeffect.com
RTI International,https://www.rti.org/
Rural Health Innovations,https://www.ruralcenter.org/rhi
Seamon Corporation ,http://www.seamoncorporation.com/contracts
Senture,http://www.senture.com/index.php/en/
Seven Sisters Community Development Group,https://www.7sistersconsulting.com/
Signature Consulting,http://www.sghealthit.com/
"Social & Scientific Systems, Inc",https://www.s-3.com/
"Social Solutions International, Inc.",http://www.socialsolutions.biz/
"Sonora & Associates, LLC",http://www.sonoraassociates.com
South West Business Development Consultants,http://www.swbdc.com/
SP Group LLC,http://www.spgroupusa.com
Strategic Tech Institute,https://www.sti-inc.com/
Summit Consulting,https://www.summitllc.us/
Sundance Research Institute,http://sundanceresearchinstitute.org/
"Synergy Enterprises, Inc.",http://www.sei2003.com/
T Curtis & Co.,http://www.tcurtiscpa.com/site/
Talu LLC,http://www.talullc.com/
Texas Medical Grp,https://www.texmed.org/TMAPracticeConsulting/
The Aquiline Group,http://theaquilinegroup.com/
"The Bizzell Group, LLC",http://www.thebizzellgroup.com
The Cloudburst Group,https://www.cloudburstgroup.com/
The Health Policy Research Consortium, http://hprc.info/  
The Lewin Group,http://www.lewin.com
"The Lewin Group, Inc.",http://www.lewin.com/
The MayaTech Corporation,http://www.mayatech.com/
The Policy & Research Group,http://www.policyandresearch.com/
The Regulatory. Grp,https://www.regulationwriters.com/
TMN Corp,http://www.tmncorp.com/
Total Solutions,https://www.totalsol.com/
"TPJ Systems, Inc.",http://www.tpjsystems.com
"Tribal Tech, LLC",http://www.tribaltechllc.com/
"Trillium, LLC",http://trilliuminfo.com/
Truven Health Analytics,http://truvenhealth.com
"Tyonek Global Services, LLC",http://www.tyonek.com/
"University of Montana - Center for Children, Families, and Workforce Development",http://health.umt.edu/ccfwd
"University Research Co., LLC",http://www.urc-chs.com/ 
Urban Institute,https://www.urban.org/
URC-CHS,https://www.urc-chs.com/
Vanguard Communications of Falls Church,https://www.vancomm.com/
Verdi Consulting,https://www.verdiconsulting.net/
Vire Consulting,http://www.vireconsulting.com/
Vital Statistics Consulting,http://www.vitalstatisticsconsulting.com
"Walter R. McDonald and Associates, Inc.",http://www.wrma.com/
PJP Economics,http://www.pjpeconomics.com/about.html
Westat,https://www.westat.com/
"Westat, Inc.",https://www.westat.com/
X4 Health ,https://www.x4health.com/
Cober Johnson & Romney,http://cjrlegal.com/our-people/
